#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:10 kOhm
#Resolution:
#Vce:3.671268633 mV
#Ic:367.6998899 nA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
0.04822634460999418,4.443321211432937e-06,0
0.04822634460999418,4.443321211432937e-06,-0.009980039920159681
0.03996599018494195,4.443321211432937e-06,-0.01996007984031936
0.02987000144321144,4.351396238965402e-06,-0.02994011976047904
0.01977401270148094,4.351396238965402e-06,-0.03992015968063872
0.01151365827642871,4.167546294030333e-06,-0.0499001996007984
0.001417669534698205,4.075621321562798e-06,-0.05988023952095808
-0.0086783192070323,3.799846404160194e-06,-0.06986027944111776
-0.01785649079042367,3.799846404160194e-06,-0.07984031936127745
-0.02703466237381504,3.799846404160194e-06,-0.08982035928143713
-0.0362128339572064,3.615996459225124e-06,-0.09980039920159681
-0.04539100554059777,3.615996459225124e-06,-0.1097804391217565
-0.05548699428232828,3.432146514290055e-06,-0.1197604790419162
-0.06558298302405878,3.52407148675759e-06,-0.1297405189620758
-0.07476115460745014,3.615996459225124e-06,-0.1397205588822355
-0.08302150903250238,3.615996459225124e-06,-0.1497005988023952
-0.09311749777423288,3.52407148675759e-06,-0.1596806387225549
-0.1032134865159634,3.52407148675759e-06,-0.1696606786427146
-0.1133094752576939,3.52407148675759e-06,-0.1796407185628743
-0.1234054639994244,3.52407148675759e-06,-0.1896207584830339
-0.1335014527411549,3.52407148675759e-06,-0.1996007984031936
-0.1417618071662071,3.52407148675759e-06,-0.2095808383233533
-0.1500221615912594,3.52407148675759e-06,-0.219560878243513
-0.1601181503329899,3.248296569354985e-06,-0.2295409181636726
-0.1702141390747204,3.34022154182252e-06,-0.2395209580838323
-0.1784744934997726,3.34022154182252e-06,-0.249500998003992
-0.1885704822415031,3.34022154182252e-06,-0.2594810379241517
-0.1977486538248945,3.248296569354985e-06,-0.2694610778443114
-0.207844642566625,3.248296569354985e-06,-0.2794411177644711
-0.2170228141500163,3.156371596887451e-06,-0.2894211576846307
-0.2271188028917469,3.156371596887451e-06,-0.2994011976047904
-0.2362969744751382,3.156371596887451e-06,-0.3093812375249501
-0.2473107803752079,3.156371596887451e-06,-0.3193612774451098
-0.2564889519585992,3.156371596887451e-06,-0.3293413173652694
-0.2656671235419906,3.248296569354985e-06,-0.3393213572854291
-0.2757631122837211,3.064446624419916e-06,-0.3493013972055888
-0.2849412838671124,2.972521651952381e-06,-0.3592814371257485
-0.2950372726088429,2.972521651952381e-06,-0.3692614770459082
-0.3051332613505734,3.064446624419916e-06,-0.3792415169660678
-0.3143114329339648,3.064446624419916e-06,-0.3892215568862276
-0.3234896045173562,2.972521651952381e-06,-0.3992015968063872
-0.3326677761007475,2.972521651952381e-06,-0.4091816367265469
-0.341845947684139,2.880596679484846e-06,-0.4191616766467066
-0.3519419364258694,2.880596679484846e-06,-0.4291417165668663
-0.3629557423259391,2.788671707017311e-06,-0.4391217564870259
-0.3721339139093304,2.880596679484846e-06,-0.4491017964071856
-0.3813120854927218,2.788671707017311e-06,-0.4590818363273453
-0.3904902570761132,2.788671707017311e-06,-0.469061876247505
-0.3987506115011654,2.696746734549777e-06,-0.4790419161676647
-0.409764417401235,2.788671707017311e-06,-0.4890219560878243
-0.4189425889846264,2.788671707017311e-06,-0.499001996007984
-0.4281207605680178,2.788671707017311e-06,-0.5089820359281437
-0.4400523836264266,2.788671707017311e-06,-0.5189620758483033
-0.4473949208931396,2.696746734549777e-06,-0.5289421157684631
-0.4574909096348702,2.604821762082242e-06,-0.5389221556886228
-0.4675868983766007,2.696746734549777e-06,-0.5489021956087824
-0.476765069959992,2.788671707017311e-06,-0.5588822355289421
-0.4868610587017225,2.880596679484846e-06,-0.5688622754491018
-0.496957047443453,2.880596679484846e-06,-0.5788423153692615
-0.5070530361851836,2.788671707017311e-06,-0.5888223552894212
-0.516231207768575,2.788671707017311e-06,-0.5988023952095808
-0.5263271965103055,2.788671707017311e-06,-0.6087824351297405
-0.5355053680936969,2.788671707017311e-06,-0.6187624750499002
-0.5446835396770882,2.788671707017311e-06,-0.6287425149700598
-0.5556973455771579,2.788671707017311e-06,-0.6387225548902196
-0.563039882843871,2.696746734549777e-06,-0.6487025948103793
-0.5740536887439406,2.604821762082242e-06,-0.6586826347305389
-0.583231860327332,2.696746734549777e-06,-0.6686626746506986
-0.5933278490690624,2.696746734549777e-06,-0.6786427145708582
-0.603423837810793,2.788671707017311e-06,-0.688622754491018
-0.6135198265525235,2.788671707017311e-06,-0.6986027944111777
-0.6217801809775757,2.788671707017311e-06,-0.7085828343313373
-0.6318761697193062,2.512896789614707e-06,-0.718562874251497
-0.6401365241443584,2.604821762082242e-06,-0.7285429141716567
-0.650232512886089,2.604821762082242e-06,-0.7385229540918163
-0.6603285016278194,2.604821762082242e-06,-0.7485029940119761
-0.6685888560528717,2.604821762082242e-06,-0.7584830339321357
-0.6786848447946021,2.512896789614707e-06,-0.7684630738522954
-0.6878630163779935,2.512896789614707e-06,-0.7784431137724551
-0.6961233708030458,2.420971817147172e-06,-0.7884231536926147
-0.7071371767031154,2.329046844679638e-06,-0.7984031936127745
-0.7153975311281676,2.420971817147172e-06,-0.8083832335329342
-0.7254935198698982,2.420971817147172e-06,-0.8183632734530938
-0.7355895086116286,2.420971817147172e-06,-0.8283433133732535
-0.74476768019502,2.329046844679638e-06,-0.8383233532934131
-0.7539458517784113,2.420971817147172e-06,-0.8483033932135728
-0.7649596576784811,2.329046844679638e-06,-0.8582834331337326
-0.7741378292618724,2.329046844679638e-06,-0.8682634730538922
-0.7833160008452638,2.329046844679638e-06,-0.8782435129740519
-0.7924941724286552,2.145196899744568e-06,-0.8882235528942116
-0.8025901611703856,2.145196899744568e-06,-0.8982035928143712
-0.8126861499121162,2.053271927277033e-06,-0.908183632734531
-0.8227821386538466,2.145196899744568e-06,-0.9181636726546906
-0.831960310237238,2.237121872212103e-06,-0.9281437125748503
-0.8411384818206293,2.237121872212103e-06,-0.93812375249501
-0.8503166534040207,2.145196899744568e-06,-0.9481037924151696
-0.8594948249874121,2.053271927277033e-06,-0.9580838323353293
-0.8695908137291426,1.961346954809498e-06,-0.9680638722554891
-0.8769333509958557,1.961346954809498e-06,-0.9780439121756487
-0.8870293397375862,1.961346954809498e-06,-0.9880239520958084
-0.8962075113209775,2.053271927277033e-06,-0.998003992015968
-0.9063035000627081,1.961346954809498e-06,-1.007984031936128
-0.9163994888044386,1.961346954809498e-06,-1.017964071856287
-0.92557766038783,1.869421982341964e-06,-1.027944111776447
-0.9356736491295604,1.961346954809498e-06,-1.037924151696607
-0.9448518207129518,2.053271927277033e-06,-1.047904191616766
-0.9558656266130214,1.961346954809498e-06,-1.057884231536926
-0.965961615354752,1.869421982341964e-06,-1.067864271457086
-0.9751397869381433,1.777497009874429e-06,-1.077844311377246
-0.986153592838213,1.869421982341964e-06,-1.087824351297405
-0.9953317644216043,1.777497009874429e-06,-1.097804391217565
-1.005427753163335,1.777497009874429e-06,-1.107784431137725
-1.014605924746726,1.777497009874429e-06,-1.117764471057884
-1.024701913488457,1.777497009874429e-06,-1.127744510978044
-1.033880085071848,1.685572037406894e-06,-1.137724550898204
-1.04305825665524,1.59364706493936e-06,-1.147704590818363
-1.05315424539697,1.685572037406894e-06,-1.157684630738523
-1.0632502341387,1.777497009874429e-06,-1.167664670658683
-1.072428405722092,1.777497009874429e-06,-1.177644710578842
-1.082524394463822,1.777497009874429e-06,-1.187624750499002
-1.090784748888875,1.685572037406894e-06,-1.197604790419162
-1.101798554788944,1.59364706493936e-06,-1.207584830339321
-1.110976726372336,1.40979712000429e-06,-1.217564870259481
-1.119237080797388,1.501722092471825e-06,-1.227544910179641
-1.129333069539118,1.501722092471825e-06,-1.2375249500998
-1.137593423964171,1.501722092471825e-06,-1.24750499001996
-1.147689412705901,1.59364706493936e-06,-1.25748502994012
-1.158703218605971,1.59364706493936e-06,-1.267465069860279
-1.167881390189362,1.501722092471825e-06,-1.277445109780439
-1.177059561772754,1.40979712000429e-06,-1.287425149700599
-1.186237733356145,1.40979712000429e-06,-1.297405189620759
-1.195415904939536,1.40979712000429e-06,-1.307385229540918
-1.206429710839606,1.40979712000429e-06,-1.317365269461078
-1.214690065264658,1.40979712000429e-06,-1.327345309381238
-1.224786054006389,1.40979712000429e-06,-1.337325349301397
-1.23396422558978,1.40979712000429e-06,-1.347305389221557
-1.243142397173171,1.501722092471825e-06,-1.357285429141716
-1.254156203073241,1.501722092471825e-06,-1.367265469061876
-1.263334374656632,1.40979712000429e-06,-1.377245508982036
-1.272512546240024,1.317872147536755e-06,-1.387225548902196
-1.282608534981754,1.225947175069221e-06,-1.397205588822355
-1.293622340881824,1.225947175069221e-06,-1.407185628742515
-1.301882695306876,1.317872147536755e-06,-1.417165668662675
-1.311060866890267,1.317872147536755e-06,-1.427145708582834
-1.320239038473659,1.225947175069221e-06,-1.437125748502994
-1.330335027215389,1.134022202601686e-06,-1.447105788423154
-1.339513198798781,1.134022202601686e-06,-1.457085828343313
-1.349609187540511,1.042097230134151e-06,-1.467065868263473
-1.357869541965563,1.134022202601686e-06,-1.477045908183633
-1.367965530707294,1.042097230134151e-06,-1.487025948103792
-1.378061519449024,9.501722576666164e-07,-1.497005988023952
-1.386321873874077,1.042097230134151e-06,-1.506986027944112
-1.397335679774146,1.134022202601686e-06,-1.516966067864271
-1.407431668515877,1.134022202601686e-06,-1.526946107784431
-1.417527657257607,1.225947175069221e-06,-1.536926147704591
-1.426705828840999,1.317872147536755e-06,-1.546906187624751
-1.43588400042439,1.225947175069221e-06,-1.55688622754491
-1.445062172007781,1.042097230134151e-06,-1.56686626746507
-1.454240343591173,1.134022202601686e-06,-1.576846307385229
-1.465254149491242,1.134022202601686e-06,-1.586826347305389
-1.474432321074634,1.225947175069221e-06,-1.596806387225549
-1.484528309816364,1.225947175069221e-06,-1.606786427145709
-1.493706481399756,1.134022202601686e-06,-1.616766467065868
-1.503802470141486,1.042097230134151e-06,-1.626746506986028
-1.512062824566538,9.501722576666164e-07,-1.636726546906188
-1.522158813308269,9.501722576666164e-07,-1.646706586826347
-1.532254802049999,8.582472851990816e-07,-1.656686626746507
-1.541432973633391,9.501722576666164e-07,-1.666666666666667
-1.551528962375121,9.501722576666164e-07,-1.676646706586826
-1.560707133958513,8.582472851990816e-07,-1.686626746506986
-1.569885305541904,9.501722576666164e-07,-1.696606786427146
-1.579063477125295,9.501722576666164e-07,-1.706586826347305
-1.590077283025365,8.582472851990816e-07,-1.716566866267465
-1.599255454608756,9.501722576666164e-07,-1.726546906187625
-1.608433626192148,9.501722576666164e-07,-1.736526946107784
-1.617611797775539,8.582472851990816e-07,-1.746506986027944
-1.62678996935893,7.663223127315469e-07,-1.756487025948104
-1.637803775259,6.743973402640122e-07,-1.766467065868264
-1.646981946842391,7.663223127315469e-07,-1.776447105788423
-1.657077935584122,7.663223127315469e-07,-1.786427145708583
-1.669009558642531,6.743973402640122e-07,-1.796407185628742
-1.676352095909244,6.743973402640122e-07,-1.806387225548902
-1.685530267492635,4.905473953289426e-07,-1.816367265469062
-1.694708439076027,5.824723677964773e-07,-1.826347305389222
-1.704804427817757,5.824723677964773e-07,-1.836327345309381
