#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:10 kOhm
#Resolution:
#Vce:3.671268633 mV
#Ic:367.6998899 nA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
0.05281543040168987,4.719096128835541e-06,0
0.04547289313497677,4.535246183900472e-06,-0.01
0.03813035586826367,4.443321211432937e-06,-0.02
0.02895218428487231,4.259471266497868e-06,-0.03
0.02069182985982008,4.167546294030333e-06,-0.04
0.01243147543476785,3.983696349095263e-06,-0.05
0.002335486693037341,3.799846404160194e-06,-0.06
-0.006842684890354027,3.615996459225124e-06,-0.07000000000000001
-0.01602085647374539,3.432146514290055e-06,-0.08
-0.02428121089879762,3.432146514290055e-06,-0.09
-0.03437719964052813,3.248296569354985e-06,-0.1
-0.04447318838225863,3.156371596887451e-06,-0.11
-0.05365135996565,3.064446624419916e-06,-0.12
-0.06191171439070223,3.156371596887451e-06,-0.13
-0.0710898859740936,3.064446624419916e-06,-0.14
-0.0811858747158241,3.064446624419916e-06,-0.15
-0.09128186345755461,3.156371596887451e-06,-0.16
-0.09954221788260684,3.064446624419916e-06,-0.17
-0.1096382066243373,3.064446624419916e-06,-0.18
-0.1197341953660678,3.064446624419916e-06,-0.19
-0.1279945497911201,3.156371596887451e-06,-0.2
-0.1390083556911897,3.064446624419916e-06,-0.21
-0.1481865272745811,2.972521651952381e-06,-0.22
-0.1573646988579724,2.972521651952381e-06,-0.23
-0.1665428704413638,2.880596679484846e-06,-0.24
-0.1766388591830943,2.788671707017311e-06,-0.25
-0.1867348479248248,2.880596679484846e-06,-0.26
-0.1959130195082162,2.972521651952381e-06,-0.27
-0.2050911910916076,2.788671707017311e-06,-0.28
-0.2142693626749989,2.788671707017311e-06,-0.29
-0.2243653514167294,2.696746734549777e-06,-0.3
-0.2335435230001208,2.788671707017311e-06,-0.31
-0.2436395117418513,2.696746734549777e-06,-0.32
-0.2528176833252427,2.788671707017311e-06,-0.33
-0.2629136720669732,2.696746734549777e-06,-0.34
-0.2720918436503645,2.696746734549777e-06,-0.35
-0.2821878323920951,2.604821762082242e-06,-0.36
-0.2922838211338256,2.604821762082242e-06,-0.37
-0.3014619927172169,2.604821762082242e-06,-0.38
-0.3115579814589474,2.604821762082242e-06,-0.39
-0.3207361530423388,2.604821762082242e-06,-0.4
-0.3308321417840693,2.512896789614707e-06,-0.41
-0.3400103133674606,2.420971817147172e-06,-0.42
-0.349188484950852,2.329046844679638e-06,-0.43
-0.3592844736925825,2.329046844679638e-06,-0.44
-0.3693804624343131,2.329046844679638e-06,-0.45
-0.3794764511760435,2.145196899744568e-06,-0.46
-0.3886546227594349,2.329046844679638e-06,-0.47
-0.3969149771844871,2.237121872212103e-06,-0.48
-0.4070109659262177,2.237121872212103e-06,-0.49
-0.4171069546679481,2.237121872212103e-06,-0.5
-0.4262851262513395,2.237121872212103e-06,-0.51
-0.43638111499307,2.237121872212103e-06,-0.52
-0.4446414694181222,2.145196899744568e-06,-0.53
-0.4556552753181919,2.145196899744568e-06,-0.54
-0.4657512640599224,2.145196899744568e-06,-0.55
-0.4749294356433137,2.329046844679638e-06,-0.5600000000000001
-0.4850254243850443,2.329046844679638e-06,-0.57
-0.4942035959684356,2.329046844679638e-06,-0.58
-0.5042995847101662,2.329046844679638e-06,-0.59
-0.5143955734518967,2.329046844679638e-06,-0.6
-0.5235737450352881,2.329046844679638e-06,-0.61
-0.5327519166186794,2.237121872212103e-06,-0.62
-0.5428479053604099,2.237121872212103e-06,-0.63
-0.5511082597854622,2.237121872212103e-06,-0.64
-0.5612042485271926,2.237121872212103e-06,-0.65
-0.570382420110584,2.237121872212103e-06,-0.66
-0.5795605916939754,2.145196899744568e-06,-0.67
-0.5905743975940451,2.145196899744568e-06,-0.68
-0.5997525691774364,2.237121872212103e-06,-0.6899999999999999
-0.6107663750775061,2.237121872212103e-06,-0.7
-0.6199445466608974,2.145196899744568e-06,-0.71
-0.6282049010859496,2.053271927277033e-06,-0.72
-0.637383072669341,1.961346954809498e-06,-0.73
-0.6465612442527324,1.961346954809498e-06,-0.74
-0.6566572329944629,2.053271927277033e-06,-0.75
-0.6667532217361933,2.053271927277033e-06,-0.76
-0.6768492104779239,1.961346954809498e-06,-0.77
-0.6860273820613153,1.869421982341964e-06,-0.78
-0.6942877364863675,1.869421982341964e-06,-0.79
-0.7053015423864372,1.777497009874429e-06,-0.8
-0.7144797139698285,1.869421982341964e-06,-0.8100000000000001
-0.7236578855532199,1.869421982341964e-06,-0.82
-0.7337538742949504,1.777497009874429e-06,-0.83
-0.7429320458783417,1.685572037406894e-06,-0.84
-0.7521102174617331,1.777497009874429e-06,-0.85
-0.7631240233618027,1.777497009874429e-06,-0.86
-0.7723021949451941,1.777497009874429e-06,-0.87
-0.7805625493702464,1.777497009874429e-06,-0.88
-0.7897407209536377,1.777497009874429e-06,-0.89
-0.7998367096953682,1.685572037406894e-06,-0.9
-0.8099326984370987,1.59364706493936e-06,-0.91
-0.8191108700204901,1.59364706493936e-06,-0.92
-0.8292068587622206,1.501722092471825e-06,-0.93
-0.8393028475039511,1.59364706493936e-06,-0.9399999999999999
-0.8484810190873424,1.501722092471825e-06,-0.95
-0.8576591906707338,1.501722092471825e-06,-0.96
-0.8668373622541252,1.40979712000429e-06,-0.97
-0.8760155338375166,1.317872147536755e-06,-0.98
-0.8861115225792471,1.501722092471825e-06,-0.99
-0.8962075113209775,1.501722092471825e-06,-1
-0.9053856829043689,1.501722092471825e-06,-1.01
-0.9154816716460995,1.501722092471825e-06,-1.02
-0.9246598432294908,1.317872147536755e-06,-1.03
-0.9347558319712214,1.40979712000429e-06,-1.04
-0.9448518207129518,1.40979712000429e-06,-1.05
-0.9540299922963432,1.40979712000429e-06,-1.06
-0.9641259810380737,1.317872147536755e-06,-1.07
-0.9733041526214651,1.317872147536755e-06,-1.08
-0.9834001413631955,1.225947175069221e-06,-1.09
-0.9925783129465869,1.225947175069221e-06,-1.1
-1.003592118846657,1.225947175069221e-06,-1.11
-1.013688107588387,1.225947175069221e-06,-1.12
-1.023784096330118,1.225947175069221e-06,-1.13
-1.03204445075517,1.134022202601686e-06,-1.14
-1.041222622338561,1.134022202601686e-06,-1.15
-1.051318611080292,1.134022202601686e-06,-1.16
-1.061414599822022,1.134022202601686e-06,-1.17
-1.070592771405414,1.134022202601686e-06,-1.18
-1.079770942988805,1.134022202601686e-06,-1.19
-1.090784748888875,1.134022202601686e-06,-1.2
-1.099962920472266,1.042097230134151e-06,-1.21
-1.108223274897318,8.582472851990816e-07,-1.22
-1.11740144648071,1.042097230134151e-06,-1.23
-1.12749743522244,9.501722576666164e-07,-1.24
-1.137593423964171,1.042097230134151e-06,-1.25
-1.146771595547562,9.501722576666164e-07,-1.26
-1.155949767130953,9.501722576666164e-07,-1.27
-1.166963573031023,8.582472851990816e-07,-1.28
-1.176141744614414,8.582472851990816e-07,-1.29
-1.186237733356145,8.582472851990816e-07,-1.3
-1.194498087781197,8.582472851990816e-07,-1.31
-1.203676259364588,8.582472851990816e-07,-1.32
-1.214690065264658,7.663223127315469e-07,-1.33
-1.223868236848049,7.663223127315469e-07,-1.34
-1.233046408431441,6.743973402640122e-07,-1.35
-1.242224580014832,6.743973402640122e-07,-1.36
-1.252320568756563,8.582472851990816e-07,-1.37
-1.261498740339954,7.663223127315469e-07,-1.38
-1.270676911923345,6.743973402640122e-07,-1.39
-1.280772900665076,5.824723677964773e-07,-1.4
-1.290868889406806,4.905473953289426e-07,-1.41
-1.299129243831859,6.743973402640122e-07,-1.42
-1.309225232573589,5.824723677964773e-07,-1.43
-1.318403404156981,4.905473953289426e-07,-1.44
-1.328499392898711,4.905473953289426e-07,-1.45
-1.339513198798781,3.986224228614079e-07,-1.46
-1.348691370382172,3.986224228614079e-07,-1.47
-1.356951724807224,3.986224228614079e-07,-1.48
-1.367965530707294,4.905473953289426e-07,-1.49
-1.377143702290685,4.905473953289426e-07,-1.5
-1.386321873874077,4.905473953289426e-07,-1.51
-1.396417862615807,3.986224228614079e-07,-1.52
-1.405596034199198,5.824723677964773e-07,-1.53
-1.415692022940929,6.743973402640122e-07,-1.54
-1.42578801168266,6.743973402640122e-07,-1.55
-1.434966183266051,6.743973402640122e-07,-1.56
-1.445062172007781,4.905473953289426e-07,-1.57
-1.453322526432834,4.905473953289426e-07,-1.58
-1.463418515174564,4.905473953289426e-07,-1.59
-1.472596686757955,4.905473953289426e-07,-1.6
-1.482692675499686,3.986224228614079e-07,-1.61
-1.492788664241417,4.905473953289426e-07,-1.62
-1.501966835824808,3.066974503938731e-07,-1.63
-1.512062824566538,3.066974503938731e-07,-1.64
-1.520323178991591,3.986224228614079e-07,-1.65
-1.530419167733321,3.986224228614079e-07,-1.66
-1.539597339316712,4.905473953289426e-07,-1.67
-1.549693328058443,4.905473953289426e-07,-1.68
-1.559789316800174,3.986224228614079e-07,-1.69
-1.569885305541904,3.066974503938731e-07,-1.7
-1.579063477125295,2.147724779263384e-07,-1.71
-1.589159465867026,3.066974503938731e-07,-1.72
-1.597419820292078,3.066974503938731e-07,-1.73
-1.606597991875469,3.066974503938731e-07,-1.74
-1.6166939806172,2.147724779263384e-07,-1.75
-1.62678996935893,1.228475054588036e-07,-1.76
-1.636885958100661,1.228475054588036e-07,-1.77
-1.646064129684052,2.147724779263384e-07,-1.78
-1.655242301267444,3.066974503938731e-07,-1.79
