#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:20 Ohm
#Resolution:
#Vce:320.7049465 uV
#Ic:16.06792962 uA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
0.004412838565282209,0.0002252628557650552,0
0.0090630602898721,0.0002252628557650552,0.005
0.01363310577783113,0.0002252628557650552,0.01
0.01836350373905189,0.0002252628557650552,0.015
0.0231740779369035,0.0002252628557650552,0.02
0.02790447589812425,0.0002332968205736786,0.025
0.032634873859345,0.0002292798381693669,0.03
0.0380868579502435,0.0002332968205736786,0.035
0.04273707967483339,0.0002212458733607434,0.04
0.04770800634594672,0.0002212458733607434,0.045
0.05243840430716747,0.0002212458733607434,0.05
0.05853179829111285,0.0002252628557650552,0.055
0.06318202001570274,0.0002212458733607434,0.06
0.06807277045018521,0.0002252628557650552,0.065
0.07272299217477511,0.0002252628557650552,0.07000000000000001
0.07769391884588844,0.0002292798381693669,0.075
0.08314590293678693,0.0002292798381693669,0.08
0.08787630089800769,0.0002373138029779904,0.08500000000000001
0.09260669885922844,0.0002373138029779904,0.09
0.09725692058381834,0.0002413307853823021,0.095
0.1019873185450391,0.0002493647501909255,0.1
0.1079203600557227,0.0002493647501909255,0.105
0.1127309342535743,0.0002614156974038607,0.11
0.1171406272682717,0.0002734666446167959,0.115
0.1223520826492776,0.0002734666446167959,0.12
0.1269221281372366,0.0002815006094254194,0.125
0.1314119973885648,0.0002975685390426663,0.13
0.1358216904032621,0.0003136364686599132,0.135
0.1402313834179594,0.0003337213806814718,0.14
0.1445609001960259,0.0003497893102987187,0.145
0.1488102407374615,0.0003779081871289008,0.15
0.1534604624620514,0.0004140610287677064,0.155
0.1585917416064264,0.0004622648176194471,0.16
0.1626005534379694,0.0004984176592582527,0.165
0.1665291890328816,0.0005586723953229285,0.17
0.1701371196812703,0.0006068761841746693,0.175
0.1739855790395515,0.0006671309202393452,0.18
0.1774331572146786,0.0007354196211126446,0.185
0.1807203829165438,0.0007996913395816322,0.19
0.1843283135649325,0.000892081934880802,0.195
0.1872948343202743,0.00098045554777566,0.2
0.1902613550756162,0.001068829160670518,0.205
0.193789109487374,0.001193355615204182,0.21
0.1965952777694541,0.001297797157716286,0.215
0.1991609173416417,0.001410272665037015,0.22
0.20180673315046,0.001522748172357743,0.225
0.2038913153028624,0.001647274626891407,0.23
0.2061362499285265,0.001759750134212135,0.235
0.2083811845541906,0.001908378483171669,0.24
0.2104657667065929,0.002065040796939826,0.245
0.2123899963857336,0.002201618198686425,0.25
0.2141538735916125,0.002342212582837335,0.255
0.2159177507974914,0.002482806966988246,0.26
0.2182428616597864,0.002683656087203832,0.265
0.2197662101557727,0.00284031840097199,0.27
0.22136973488839,0.002996980714740147,0.275
0.223053435857638,0.00318979587014711,0.28
0.2244966081169935,0.003358509131128202,0.285
0.2258596041397181,0.003519188427300672,0.29
0.2272226001624427,0.003695935653090388,0.295
0.2285054199485365,0.00386464891407148,0.3
0.2297080634979994,0.00404943010466982,0.305
0.2309107070474623,0.004230194312863848,0.31
0.2324340555434486,0.004451128345100993,0.315
0.2338772278028041,0.004664028412529515,0.32
0.2349195188790053,0.004844792620723543,0.325
0.2360419861918374,0.005029573811321882,0.33
0.2368437485581459,0.005218371984324533,0.335
0.2378860396343471,0.005403153174922872,0.34
0.2388481544739174,0.005599985312734147,0.345
0.2397300930768569,0.005788783485736798,0.35
0.2408525603896889,0.005997666570761008,0.355
0.2415741465193667,0.006186464743763659,0.36
0.2424560851223062,0.006387313863979245,0.365
0.2434983761985073,0.006628332808237949,0.37
0.2443803148014468,0.006829181928453536,0.375
0.2451820771677554,0.00702601406626481,0.38
0.245983839534064,0.007230880168884709,0.385
0.2467054256637418,0.007423695324291671,0.39
0.2475873642666812,0.007656680303741751,0.395
0.2484693028696207,0.007861546406361648,0.4
0.2491107127626676,0.008062395526577235,0.405
0.2497521226557144,0.008271278611601445,0.41
0.2505538850220231,0.008472127731817032,0.415
0.2514358236249625,0.008737248570501606,0.42
0.2521574097546403,0.008938097690717193,0.425
0.252878995884318,0.009146980775741401,0.43
0.2533600533041032,0.009363897825574235,0.435
0.2541618156704118,0.009592865822620004,0.44
0.2547230493268278,0.009801748907644212,0.445
0.2553644592198747,0.01000661501026411,0.45
0.2560058691129216,0.01022353206009695,0.455
