#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:10 kOhm
#Resolution:
#Vce:320.7049465 uV
#Ic:32.13585923 nA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
0.005455129641483391,4.746276059559808e-07,0
0.001847198993094682,4.344577819128635e-07,-0.004
-0.002161612838448329,3.862539930611227e-07,-0.008
-0.005769543486837039,3.782200282524993e-07,-0.012
-0.009858531555010909,3.701860634438758e-07,-0.016
-0.01346646220339962,3.541181338266289e-07,-0.02
-0.01731492156168091,3.460841690180055e-07,-0.024
-0.02092285221006962,3.38050204209382e-07,-0.028
-0.02485148780498177,3.300162394007586e-07,-0.032
-0.02869994716326306,3.219822745921351e-07,-0.036
-0.03286911146806779,3.059143449748882e-07,-0.04
-0.03655721835308736,3.059143449748882e-07,-0.044
-0.04024532523810693,3.059143449748882e-07,-0.048
-0.04425413706964994,3.139483097835117e-07,-0.052
-0.04802242019130037,3.059143449748882e-07,-0.056
-0.05211140825947424,2.978803801662648e-07,-0.06
-0.05555898643460123,2.737784857403944e-07,-0.064
-0.05940744579288252,2.737784857403944e-07,-0.068
-0.06349643386105638,2.657445209317709e-07,-0.07199999999999999
-0.06734489321933768,2.657445209317709e-07,-0.076
-0.07087264763109553,2.49676591314524e-07,-0.08
-0.07488145946263854,2.416426265059006e-07,-0.08400000000000001
-0.07881009505755068,2.336086616972771e-07,-0.08799999999999999
-0.08265855441583198,2.336086616972771e-07,-0.092
-0.08658719001074414,2.175407320800302e-07,-0.096
-0.09019512065913284,2.095067672714067e-07,-0.1
-0.09436428496393758,2.014728024627833e-07,-0.104
-0.09805239184895714,1.934388376541598e-07,-0.108
-0.1019810274438693,1.773709080369129e-07,-0.112
-0.1059898392754123,1.693369432282894e-07,-0.116
-0.109597769923801,1.693369432282894e-07,-0.12
-0.113606581755344,1.693369432282894e-07,-0.124
-0.117615393586887,1.452350488024191e-07,-0.128
-0.1213035004719066,1.452350488024191e-07,-0.132
-0.1252321360668188,1.61302978419666e-07,-0.136
-0.1289202429518383,1.532690136110425e-07,-0.14
-0.1328488785467505,1.372010839937956e-07,-0.144
-0.1368576903782935,1.211331543765487e-07,-0.148
-0.1404656210266822,1.211331543765487e-07,-0.152
-0.1445546090948561,1.050652247593018e-07,-0.156
-0.1481625397432448,1.050652247593018e-07,-0.16
-0.1519308228648952,1.050652247593018e-07,-0.164
-0.156019810933069,8.096333033343144e-08,-0.168
-0.1597880940547195,7.292936552480799e-08,-0.172
-0.1637167296496316,6.489540071618454e-08,-0.176
-0.1674048365346512,4.079350629031417e-08,-0.18
-0.1713334721295633,3.275954148169071e-08,-0.184
