#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:20 Ohm
#Resolution:
#Vce:320.7049465 uV
#Ic:16.06792962 uA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
0.004573191038543928,0.0002332968205736786,0
0.0090630602898721,0.0002332968205736786,0.005
0.01379345825109285,0.0002373138029779904,0.01
0.01836350373905189,0.0002332968205736786,0.015
0.02325425417353436,0.0002332968205736786,0.02
0.02806482837138597,0.0002373138029779904,0.025
0.03279522633260672,0.0002332968205736786,0.03
0.03824721042350521,0.0002332968205736786,0.035
0.04297760838472597,0.0002332968205736786,0.04
0.04794853505583931,0.0002292798381693669,0.045
0.05275910925369091,0.0002252628557650552,0.05
0.05885250323763629,0.0002252628557650552,0.055
0.06342254872559533,0.0002252628557650552,0.06
0.06831329916007779,0.0002252628557650552,0.065
0.07320404959456027,0.0002252628557650552,0.07000000000000001
0.07809480002904275,0.0002252628557650552,0.075
0.08362696035657209,0.0002252628557650552,0.08
0.08835735831779284,0.0002292798381693669,0.08500000000000001
0.09316793251564447,0.0002252628557650552,0.09
0.09789833047686522,0.0002292798381693669,0.095
0.102628728438086,0.0002332968205736786,0.1
0.1087221224220313,0.0002252628557650552,0.105
0.113532696619883,0.0002292798381693669,0.11
0.1182630945811037,0.0002332968205736786,0.115
0.1237150786720022,0.0002172288909564317,0.12
0.128445476633223,0.0002172288909564317,0.125
0.1333362270677054,0.0002252628557650552,0.13
0.1380666250289262,0.0002172288909564317,0.135
0.1427168467535161,0.0002172288909564317,0.14
0.1476075971879985,0.0002212458733607434,0.145
0.1521776426759576,0.0002172288909564317,0.15
0.157629626766856,0.0002252628557650552,0.155
0.163963549460694,0.0002252628557650552,0.16
0.1687741236585457,0.0002332968205736786,0.165
0.1735045216197664,0.0002332968205736786,0.17
0.1779943908710946,0.0002332968205736786,0.175
0.1831256700154696,0.0002373138029779904,0.18
0.1879362442133212,0.0002332968205736786,0.185
0.1927468184111729,0.0002292798381693669,0.19
0.1981186262654405,0.0002292798381693669,0.195
0.2029292004632921,0.0002373138029779904,0.2
0.2077397746611437,0.0002252628557650552,0.205
0.2136728161718274,0.0002252628557650552,0.21
0.2186437428429407,0.0002252628557650552,0.215
0.2232137883308997,0.0002212458733607434,0.22
0.2279441862921205,0.0002212458733607434,0.225
0.2326745842533413,0.0002252628557650552,0.23
0.237404982214562,0.0002172288909564317,0.235
0.2430173187787222,0.0002212458733607434,0.24
0.2477477167399429,0.0002172288909564317,0.245
0.252317762227902,0.0002172288909564317,0.25
