#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:20 Ohm
#Resolution:
#Vce:3.671268633 mV
#Ic:183.8499449 uA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
-1.870929333477141,-0.00113360088934855,-2
-1.87184715063548,-0.001179563375582317,-2.003992015968064
-1.875518419268837,-0.001225525861816085,-2.007984031936128
-1.878271870743854,-0.001271488348049852,-2.011976047904191
-1.881025322218871,-0.001317450834283619,-2.015968063872255
-1.883778773693889,-0.001363413320517387,-2.019960079840319
-1.888367859485584,-0.001409375806751154,-2.023952095808383
-1.89295694527728,-0.001455338292984922,-2.027944111776447
-1.894792579593958,-0.001455338292984922,-2.031936127744511
-1.900299482543993,-0.001501300779218689,-2.035928143712575
-1.903052934019011,-0.001547263265452456,-2.039920159680639
-1.904888568335689,-0.001593225751686224,-2.043912175648702
-1.908559836969046,-0.001731113210387526,-2.047904191616766
-1.911313288444063,-0.001731113210387526,-2.05189620758483
-1.91406673991908,-0.001823038182855061,-2.055888223552894
-1.917738008552437,-0.001914963155322595,-2.059880239520958
-1.920491460027454,-0.001914963155322595,-2.063872255489022
-1.922327094344132,-0.001960925641556363,-2.067864271457086
-1.92508054581915,-0.002052850614023897,-2.07185628742515
-1.927833997294167,-0.002098813100257665,-2.075848303393213
-1.932423083085863,-0.002144775586491432,-2.079840319361277
-1.93517653456088,-0.0021907380727252,-2.083832335329341
-1.937929986035898,-0.002236700558958967,-2.087824351297405
-1.940683437510915,-0.002282663045192734,-2.091816367265469
-1.944354706144272,-0.002282663045192734,-2.095808383233533
-1.948025974777628,-0.002374588017660269,-2.099800399201597
-1.949861609094307,-0.002420550503894036,-2.103792415169661
-1.953532877727663,-0.002420550503894036,-2.107784431137725
-1.955368512044341,-0.002466512990127804,-2.111776447105788
-1.959039780677698,-0.002512475476361571,-2.115768463073852
-1.961793232152715,-0.002650362935062873,-2.119760479041916
-1.964546683627733,-0.002650362935062873,-2.12375249500998
-1.96730013510275,-0.002696325421296641,-2.127744510978044
-1.970971403736107,-0.002788250393764176,-2.131736526946108
-1.974642672369463,-0.00288017536623171,-2.135728542914172
-1.977396123844481,-0.002926137852465478,-2.139720558882236
-1.980149575319498,-0.002972100338699245,-2.143712574850299
-1.982903026794516,-0.003018062824933012,-2.147704590818363
-1.986574295427872,-0.00306402531116678,-2.151696606786427
-1.989327746902889,-0.003201912769868082,-2.155688622754491
-1.992081198377907,-0.003201912769868082,-2.159680638722555
-1.995752467011263,-0.003247875256101849,-2.163672654690619
-1.997588101327942,-0.003293837742335617,-2.167664670658683
-2.001259369961298,-0.003339800228569384,-2.171656686626747
-2.003095004277977,-0.003385762714803152,-2.175648702594811
-2.006766272911333,-0.003431725201036919,-2.179640718562874
-2.009519724386351,-0.003477687687270686,-2.183632734530938
-2.012273175861368,-0.003477687687270686,-2.187624750499002
-2.015026627336385,-0.003569612659738221,-2.191616766467066
-2.016862261653063,-0.003615575145971988,-2.19560878243513
-2.019615713128081,-0.003615575145971988,-2.199600798403194
-2.023286981761438,-0.003707500118439523,-2.203592814371258
-2.026040433236455,-0.003753462604673291,-2.207584830339322
-2.028793884711472,-0.003799425090907058,-2.211576846307385
-2.03154733618649,-0.003845387577140825,-2.215568862275449
-2.034300787661507,-0.00393731254960836,-2.219560878243513
-2.037972056294864,-0.003983275035842128,-2.223552894211577
-2.040725507769881,-0.004029237522075894,-2.227544910179641
-2.042561142086559,-0.004075200008309662,-2.231536926147704
-2.046232410719916,-0.00412116249454343,-2.235528942115768
-2.048985862194933,-0.004167124980777197,-2.239520958083832
-2.051739313669951,-0.004213087467010965,-2.243512974051896
-2.055410582303307,-0.004305012439478499,-2.24750499001996
-2.057246216619986,-0.004350974925712267,-2.251497005988024
-2.061835302411681,-0.004396937411946034,-2.255489021956088
-2.063670936728359,-0.004442899898179802,-2.259481037924152
-2.065506571045038,-0.004488862384413568,-2.263473053892215
-2.069177839678394,-0.004534824870647336,-2.267465069860279
-2.071931291153412,-0.004626749843114871,-2.271457085828343
-2.075602559786768,-0.004672712329348639,-2.275449101796407
-2.076520376945107,-0.004764637301816173,-2.279441117764471
-2.078356011261786,-0.004856562274283708,-2.283433133732535
-2.081109462736803,-0.004902524760517475,-2.287425149700599
-2.08386291421182,-0.004902524760517475,-2.291417165668663
-2.085698548528499,-0.005040412219218777,-2.295409181636726
-2.090287634320195,-0.005086374705452545,-2.29940119760479
-2.093041085795212,-0.005132337191686312,-2.303393213572854
-2.096712354428568,-0.005270224650387614,-2.307385229540918
-2.098547988745247,-0.005270224650387614,-2.311377245508982
-2.100383623061925,-0.005362149622855149,-2.315369261477046
-2.104054891695282,-0.005454074595322683,-2.31936127744511
-2.106808343170299,-0.005545999567790219,-2.323353293413174
-2.109561794645316,-0.005545999567790219,-2.327345309381237
-2.112315246120334,-0.005591962054023986,-2.331337325349301
-2.114150880437012,-0.00568388702649152,-2.335329341317365
-2.118739966228708,-0.005729849512725288,-2.339321357285429
-2.121493417703725,-0.005775811998959055,-2.343313373253493
-2.122411234862064,-0.00586773697142659,-2.347305389221557
-2.126082503495421,-0.005913699457660357,-2.351297405189621
-2.127918137812099,-0.006005624430127892,-2.355289421157685
-2.131589406445455,-0.006005624430127892,-2.359281437125749
-2.133425040762134,-0.006143511888829194,-2.363273453093812
-2.136178492237151,-0.006189474375062962,-2.367265469061876
-2.13801412655383,-0.006235436861296729,-2.37125748502994
-2.141685395187186,-0.006327361833764263,-2.375249500998004
-2.144438846662204,-0.006419286806231799,-2.379241516966068
-2.146274480978882,-0.006511211778699334,-2.383233532934132
-2.149027932453899,-0.006603136751166868,-2.387225548902196
-2.150863566770577,-0.006649099237400635,-2.39121756487026
-2.153617018245595,-0.006741024209868171,-2.395209580838324
-2.154534835403934,-0.006786986696101937,-2.399201596806387
-2.158206104037291,-0.00692487415480324,-2.403193612774451
-2.160041738353969,-0.007016799127270774,-2.407185628742515
-2.162795189828986,-0.007062761613504542,-2.411177644710579
-2.164630824145664,-0.007108724099738309,-2.415169660678643
-2.168302092779021,-0.007154686585972077,-2.419161676646707
-2.170137727095699,-0.007246611558439611,-2.423153692614771
-2.171973361412378,-0.007246611558439611,-2.427145708582835
-2.175644630045734,-0.007384499017140914,-2.431137724550898
-2.177480264362412,-0.007476423989608448,-2.435129740518962
-2.18023371583743,-0.007522386475842215,-2.439121756487026
-2.183904984470786,-0.007568348962075983,-2.44311377245509
-2.184822801629126,-0.007614311448309751,-2.447105788423154
-2.188494070262482,-0.007706236420777285,-2.451097804391217
-2.190329704579161,-0.007752198907011052,-2.455089820359281
-2.193083156054178,-0.007844123879478589,-2.459081836327345
-2.195836607529195,-0.007890086365712354,-2.463073852295409
-2.196754424687534,-0.007982011338179891,-2.467065868263473
-2.200425693320891,-0.008027973824413656,-2.471057884231537
-2.202261327637569,-0.00811989879688119,-2.475049900199601
-2.205014779112587,-0.008211823769348727,-2.479041916167665
-2.207768230587604,-0.008257786255582492,-2.483033932135728
-2.209603864904282,-0.008349711228050029,-2.487025948103792
-2.213275133537639,-0.008487598686751332,-2.491017964071856
-2.215110767854317,-0.008533561172985097,-2.49500998003992
-2.216946402170995,-0.008625486145452634,-2.499001996007984
-2.220617670804352,-0.008717411117920168,-2.502994011976048
-2.22245330512103,-0.008763373604153937,-2.506986027944112
-2.224288939437709,-0.00885529857662147,-2.510978043912176
-2.226124573754387,-0.008947223549089004,-2.514970059880239
-2.229795842387743,-0.008993186035322773,-2.518962075848303
-2.231631476704421,-0.009085111007790306,-2.522954091816367
-2.234384928179439,-0.009131073494024075,-2.526946107784431
-2.236220562496117,-0.009222998466491609,-2.530938123752495
-2.238974013971135,-0.009268960952725377,-2.534930139720559
-2.241727465446152,-0.009360885925192911,-2.538922155688623
-2.24356309976283,-0.009452810897660445,-2.542914171656687
-2.245398734079509,-0.009544735870127979,-2.54690618762475
-2.247234368396187,-0.009544735870127979,-2.550898203592814
-2.250905637029543,-0.009636660842595516,-2.554890219560878
-2.252741271346222,-0.009682623328829281,-2.558882235528942
-2.255494722821239,-0.009866473273764352,-2.562874251497006
-2.256412539979578,-0.009912435759998121,-2.56686626746507
-2.259165991454596,-0.01000436073246565,-2.570858283433134
-2.261001625771274,-0.01005032321869942,-2.574850299401198
-2.263755077246291,-0.01018821067740072,-2.578842315369261
-2.265590711562969,-0.01028013564986826,-2.582834331337325
-2.266508528721309,-0.01037206062233579,-2.586826347305389
-2.270179797354665,-0.01046398559480333,-2.590818363273453
-2.272933248829683,-0.01060187305350463,-2.594810379241517
-2.274768883146361,-0.01069379802597217,-2.598802395209581
-2.276604517463039,-0.01069379802597217,-2.602794411177645
-2.278440151779717,-0.01087764797090723,-2.606786427145709
-2.280275786096396,-0.01096957294337477,-2.610778443113773
-2.283947054729752,-0.01101553542960854,-2.614770459081837
-2.285782689046431,-0.01110746040207607,-2.6187624750499
-2.287618323363109,-0.01119938537454361,-2.622754491017964
-2.289453957679787,-0.01133727283324491,-2.626746506986028
-2.291289591996466,-0.01138323531947867,-2.630738522954092
-2.294043043471483,-0.01142919780571244,-2.634730538922156
-2.295878677788161,-0.01152112277817998,-2.63872255489022
-2.297714312104839,-0.01161304775064751,-2.642714570858284
-2.300467763579857,-0.01170497272311505,-2.646706586826348
-2.304139032213213,-0.01179689769558258,-2.650698602794411
-2.304139032213213,-0.01184286018181635,-2.654690618762475
-2.30781030084657,-0.01198074764051765,-2.658682634730539
-2.308728118004909,-0.01202671012675142,-2.662674650698603
-2.311481569479926,-0.01216459758545272,-2.666666666666667
-2.312399386638265,-0.01225652255792025,-2.67065868263473
-2.315152838113283,-0.01234844753038779,-2.674650698602794
-2.316988472429961,-0.01239441001662156,-2.678642714570858
-2.31882410674664,-0.01253229747532286,-2.682634730538922
-2.320659741063318,-0.0126242224477904,-2.686626746506986
-2.322495375379996,-0.01271614742025793,-2.69061876247505
-2.324331009696674,-0.01271614742025793,-2.694610778443114
-2.327084461171692,-0.01285403487895923,-2.698602794411178
-2.32892009548837,-0.01294595985142677,-2.702594810379241
-2.331673546963387,-0.01308384731012807,-2.706586826347305
-2.333509181280066,-0.0131757722825956,-2.710578842315369
-2.335344815596744,-0.01326769725506314,-2.714570858283433
-2.338098267071762,-0.01335962222753067,-2.718562874251497
-2.33993390138844,-0.01340558471376444,-2.722554890219561
-2.341769535705118,-0.01349750968623198,-2.726546906187625
-2.343605170021796,-0.01358943465869951,-2.730538922155689
-2.346358621496814,-0.01368135963116704,-2.734530938123752
-2.348194255813492,-0.01381924708986835,-2.738522954091816
-2.350947707288509,-0.01386520957610211,-2.74251497005988
-2.353701158763527,-0.01391117206233588,-2.746506986027944
-2.356454610238544,-0.01400309703480342,-2.750499001996008
-2.358290244555223,-0.01409502200727095,-2.754491017964072
-2.360125878871901,-0.01414098449350472,-2.758483033932136
